wals_code,31A,118A,30A,119A,29A,85A,28A,32A,83A,86A,40A,39A,10A,47A,73A,121A,18A,21A,84A,57A,89A,9A,90A,63A,61A,66A,79A,42A,99A,44A,87A,13A,125A,111A,50A,69A,51A,98A,127A,54A,94A,122A,7A,88A,93A,62A,26A,129A,33A,80A,48A,49A,53A,55A,6A,123A,104A,25A,27A,65A,109A,46A,117A,100A,
sra,,1,,1,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
tah,,3,,1,,2,,,2,3,,,,,,,,,,,3,,1,2,,1,,,,,2,,,2,,5,9,,,,1,,,1,2,,1,1,7,,,,6,,,,,,,1,,,2,,
kon,3,,5,,2,2,1,3,2,2,3,3,2,,2,,,,,4,2,,,,,,,,1,2,2,,,2,1,4,9,1,,2,,,,2,,,6,1,1,,2,1,,,,,2,,,,,,,2,
nau,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,6,,,,,,,,,,3,,,,,1,,,,,,
igb,1,3,1,1,1,2,1,1,2,2,1,3,2,,2,2,1,,1,4,2,1,1,1,,,4,,3,6,2,2,3,2,1,2,,3,3,,1,,1,2,2,,,1,6,1,2,1,6,1,1,,1,,1,,3,,5,1,
kkp,,,,,,1,,,1,1,,,,,,,,,,2,1,2,2,,,,,,,,1,,,,,2,1,,,,,,,1,2,,2,,2,,,,,,,,,,,,,3,,,
zul,3,3,5,2,2,2,1,3,2,2,3,3,2,2,2,2,1,5,,,,,1,2,2,2,4,,1,2,2,2,3,2,1,1,2,1,3,,1,4,5,6,2,,6,2,1,1,2,1,6,1,1,,2,5,2,1,3,,4,2,
cyn,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,
tsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,
che,,3,,1,,1,,,1,1,,,,,,,1,,6,1,1,,2,,,,,,,,1,2,,,,2,,,,,,,1,1,1,,5,2,1,,,,,,1,,,,,,,,,,
bsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,
sam,,1,,1,,2,,,2,2,,,,,,3,,,,4,3,,1,2,,,4,1,,6,2,,,2,,1,9,,,3,1,,,6,2,5,1,1,7,3,2,,3,2,,,1,,1,,,2,1,1,
bam,,3,,1,1,1,1,,1,1,1,3,,,2,,1,,5,,2,1,4,1,,,,,1,6,2,2,,2,1,2,,1,,,,2,1,6,,4,2,1,2,,2,1,6,,1,2,1,,,,,2,1,1,
swt,,,,,,,,,2,2,,,,,,,,,,,3,,1,,,,,,,,3,,,2,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,
sdh,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,2,,,3,,,,,,,,,,,,1,,,,,,,,,,
kik,,,,,,2,,,2,2,,,,,,,,,,4,,,1,,,2,,,,,2,,,,,4,,,,,1,,,2,2,,6,,1,,,,,,,,,,1,1,,,,,
ewe,1,3,1,1,2,1,1,1,2,1,1,3,,2,2,,1,,,2,2,1,1,2,,4,1,,1,6,2,2,,1,1,,9,1,1,,1,,1,2,2,7,4,,8,1,3,1,6,,1,,2,5,1,2,8,2,1,2,
tuv,,,,,,1,,,1,1,,,,,2,1,1,,,2,,2,,,,,,,,,1,1,,,,2,1,,,2,,,1,1,,2,2,,2,,,,4,1,1,,,,1,,,1,,,
hau,2,2,2,1,1,2,4,3,2,2,1,3,2,,2,2,1,5,1,2,2,3,1,2,,4,4,1,1,1,1,2,3,2,1,5,9,1,1,2,1,4,5,6,3,7,1,1,2,1,3,1,6,1,1,3,1,5,1,2,3,2,4,1,
